subjects,temporal
814649.L,NODE2174
414229.L,NODE2175
453441.L,NODE2175
153934.L,NODE2175
901139.L,NODE2175
667056.L,NODE2175
990366.L,NODE2175
157437.L,NODE2175
729254.L,NODE2175
194443.L,NODE2175
210112.L,NODE2175
300719.L,NODE2175
589567.L,NODE2175
617748.L,NODE2175
174841.L,NODE2175
567052.L,NODE2175
358144.L,NODE2176
358144.R,NODE2176
150726.L,NODE2176
121719.L,NODE2176
179346.L,NODE2176
576255.L,NODE2176
529953.L,NODE2176
959574.L,NODE2176
118225.L,NODE2176
310621.L,NODE2176
700634.R,NODE2176
700634.L,NODE2176
194847.R,NODE2176
540436.R,NODE2176
569965.R,NODE2176
201515.R,NODE2176
227432.R,NODE2176
213017.L,NODE2176
111514.R,NODE2176
146634.L,NODE2176
698168.L,NODE2176
816653.L,NODE2176
656657.R,NODE2176
224022.L,NODE2176
224022.R,NODE2176
199251.L,NODE2176
677968.L,NODE2176
139637.L,NODE2176
578158.L,NODE2176
562345.R,NODE2176
112819.L,NODE2176
135528.L,NODE2176
413934.L,NODE2176
104416.L,NODE2176
139435.L,NODE2176
481951.L,NODE2176
158843.L,NODE2176
672756.L,NODE2176
150928.L,NODE2176
156637.L,NODE2176
137027.L,NODE2176
151324.L,NODE2176
176744.L,NODE2176
424939.L,NODE2176
149337.L,NODE2176
397154.L,NODE2176
955465.L,NODE2176
205826.L,NODE2176
206929.L,NODE2176
219231.L,NODE2176
123420.L,NODE2176
715647.L,NODE2176
901038.L,NODE2176
223929.L,NODE2176
871964.L,NODE2176
380036.R,NODE2176
154532.L,NODE2176
923755.L,NODE2176
155635.R,NODE2177
348545.R,NODE2177
157336.L,NODE2177
316633.R,NODE2177
